id;text;correct_answer;correct_answer_feedback;wrong_answer_feedback;created_date
1;Brand;true;true;false;2022-09-14T07:49:44
2;Markets America;true;false;false;2022-09-14T20:06:01
3;RAM;true;true;false;2022-09-14T19:39:30
4;Investment open-source invoice;true;true;true;2022-09-14T21:36:40
5;ubiquitous;false;true;true;2022-09-15T02:56:12
6;sensor;false;false;true;2022-09-15T05:42:17
7;online Response;false;true;false;2022-09-15T02:08:53
8;Industrial withdrawal;true;true;false;2022-09-14T19:20:28
9;open-source Representative Awesome;false;true;false;2022-09-14T10:50:19
10;Garden wireless;true;true;false;2022-09-14T12:51:19
