id;jhi_order;name;identifier;text;audio_file_name;rntype;theme;scenario_number;trial_type;repeatable;positivity;vividness;created_date
1;Bike;Associate Electronics;Account Advanced;Chips Cotton;Usability Account;RUMINATION;DOMESTIC;digital Multi-lateral Investment;SG_ENUM;false;false;true;2022-09-14T12:01:52
2;connecting;Fresh;alarm wireless Towels;Kids;enhance Avon;WORRY;NON_DOMESTIC;Lanka;P_ENUM;true;true;false;2022-09-14T12:11:09
3;redefine;cross-platform flexibility;Metal Multi-layered;installation Accounts Georgia;calculate utilize;WORRY;DOMESTIC;impactful Expanded demand-driven;P_ENUM;true;true;true;2022-09-14T08:10:13
4;support Cayman program;Assistant bypassing Account;Islands;generating;compressing;RUMINATION;DOMESTIC;Louisiana Graphic Dakota;P_ENUM;false;false;true;2022-09-14T21:02:24
5;Pizza Bedfordshire Azerbaijan;Towels;calculate compressing applications;multi-state;Chips;RUMINATION;NON_DOMESTIC;withdrawal Bike Shoes;P_ENUM;false;false;true;2022-09-14T18:04:37
6;Cross-group Avon &;Supervisor Liaison Costa;violet;Assistant Baby;distributed;RUMINATION;NON_DOMESTIC;Handmade approach;P_ENUM;false;true;true;2022-09-14T23:27:00
7;Turkey;Electronics New Hawaii;grow;fuchsia moratorium hybrid;deposit Tasty;RUMINATION;DOMESTIC;Bedfordshire;SG_ENUM;false;true;true;2022-09-15T06:04:18
8;copying;scale Future visualize;neutral;deliverables 24/7 Armenia;overriding hybrid;WORRY;DOMESTIC;value-added Brand;SG_ENUM;false;false;true;2022-09-15T04:17:20
9;Auto invoice;Kwacha Paraguay;Concrete coherent PNG;optimal;Avon help-desk Agent;WORRY;NON_DOMESTIC;executive;SG_ENUM;false;true;true;2022-09-14T12:43:31
10;Togo Republic Pound;reciprocal Account;markets Refined Refined;next-generation;transmit Small Sausages;WORRY;NON_DOMESTIC;quantify ADP Metal;SG_ENUM;false;false;true;2022-09-15T01:50:38
