id;jhi_order;percentage_resolved;name;session_number;created_date
1;98519;97372;Home Dollar;81101;2022-09-14T20:50:35
2;40103;39652;blue incubate Pants;27370;2022-09-14T22:03:48
3;8622;80076;web-readiness Rubber De-engineered;75300;2022-09-14T23:05:12
4;76958;78075;Drive Wooden;81794;2022-09-14T15:13:42
5;12890;29119;Handmade;77469;2022-09-14T16:31:05
6;64196;52718;Borders navigating;76773;2022-09-14T14:47:54
7;44902;9919;South;89557;2022-09-14T07:07:42
8;71818;31864;optimize;7688;2022-09-14T14:18:31
9;24045;44612;Marketing overriding;85691;2022-09-14T23:11:20
10;21733;25551;Assistant Response;14268;2022-09-14T23:30:14
